"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"OH0100203",1,24,85
"OH0100303",1,35,75
"OH0100503",1,29,75
"OH0100603",1,35,75
"OH0200012",0,50,18
"OH0200112",0,48,14.91
"OH0200412",0.32,53,47.92
"OH0200503",0.13,21,19.39
"OH0200712",0,39,73
"OH0200811",0.27,48,62.38
"OH0201312",0,48,50
"OH0252212",0,46,72
"OH0300112",0.46,47,62.48
"OH0300312",1,44,22
"OH0300512",0,44,26
"OH0300712",0,42,43
"OH0300912",0,44,26
"OH0301012",0.89,52,54.02
"OH0301112",1,52,55
"OH0301212",0,42,43
"OH0301512",0,27,25
"OH0400012",1,31,87.87
"OH0400212",1,31,85.78
"OH0400411",0.37,66,68.7
"OH0400512",0,43,45
"OH0400611",0,27,56
"OH0400711",0.55,60,79.03
"OH0400803",0,32,75.79
"OH0401012",1,28,62
"OH0401111",0,27,56
"OH0401212",0,32,39
"OH0401712",0.57,48,72.77
"OH0401812",0,33,50
"OH0500003",0,27,57
"OH0500112",1,23,46
"OH0500212",0.45,40,36.29
"OH0500303",1,22,86.92
"OH0500512",1,46,62
"OH0500603",0,24,79
"OH0500703",1,55,89
"OH0501003",1,55,89
"OH0501111",0,23,61.62
"OH0501214",0.99,43,78.87
"OH0501311",1,26,49.1
"OH0501503",1,42,69.06
"OH0501703",1,55,89
"OH0600212",0,30,76.67
"OH0600312",0,51,30
"OH0600412",0,37,23
"OH0600512",0,43,46.93
"OH0600612",0,48,49.43
"OH0600712",0,41,55.88
"OH0600912",0,46,37
"OH0601012",0,51,30
"OH0700011",0,49,77
"OH0700114",0.23,72,90.28
"OH0700315",0,50,59.67
"OH0700412",0.44,57,71.38
"OH0700511",0,55,61
"OH0700612",0.68,63,66.87
"OH0700912",0,48,50.03
"OH0701112",0,52,54
"OH0701212",1,71,71.6
"OH0701303",0,24,32
"OH0701412",1,41,69
"OH0701516",0,35,49.68
"OH0701612",0,70,72.98
"OH0701703",1,41,69
"OH0800411",0,15,65
"OH0800503",1,32,92.96
"OH0800603",0,33,75
"OH0800811",0,18,57
"OH0801011",0,19,71.54
"OH0801112",1,40,84.53
"OH0801203",1,56,88
"OH0801511",0.71,25,82.58
"OH0802012",0,33,75
"OH0900303",0.08,5,27.17
"OH0900512",0,26,63
"OH0900715",0.34,13,58.53
"OH0901412",0,42,81
"OH0901712",0.67,53,84.86
"OH0902012",0,9,57.11
"OH0902112",0.4,56,91.18
"OH0902312",0.05,18,37.7
"OH0902912",0,32,42.64
"OH0903012",0,23,70.59
"OH0903912",0,27,43.43
"OH0904012",0.49,59,82.2
"OH1000012",0,48,74
"OH1000112",0,28,63
"OH1000412",0,28,63
"OH1000512",0,50,69
"OH1000612",0,38,68
"OH1000812",0,28,63
"OH1100112",0,44,42
"OH1100312",0,NA,NA
"OH1100412",0,44,42
"OH1100512",0,21,53
"OH1100712",0,47,82
"OH1100812",0,29,79
"OH1100912",0,44,42
"OH1101012",0,21,53
"OH1101112",0,21,53
"OH1101212",0.58,55,79.31
"OH1101312",0,21,53
"OH1200112",0,23,69
"OH1200212",0,36,8
"OH1200312",0,23,69
"OH1200412",0,30,49
"OH1200703",0,19,66.58
"OH1201003",0,18,44
"OH1201112",0,30,83.87
"OH1201412",0,47,82
"OH1201512",0,47,82
"OH1201712",0,NA,NA
"OH1201812",0,25,45.22
"OH1202012",0,NA,NA
"OH1202312",0,47,82
"OH1202512",0,43,81
"OH1202612",0,36,8
"OH1202812",0,26,68.21
"OH1203312",1,41,74.6
"OH1203412",0,36,8
"OH1203712",0,36,8
"OH1203812",0,23,80
"OH1204212",0,48,71
"OH1204312",0,43,81
"OH1204412",0.46,62,86.23
"OH1204912",0,23,80
"OH1253012",0,40,69
"OH1300011",0.35,38,69.51
"OH1300116",0.67,51,69
"OH1300612",0,27,79
"OH1300812",0,19,24.59
"OH1301012",0,43,45.04
"OH1301212",0,29,83
"OH1301312",0.08,23,75.67
"OH1301411",0,38,83.7
"OH1302212",0.03,16,50.92
"OH1330912",0,29,83
"OH1400111",1,40,86
"OH1400203",0,18,59
"OH1400815",0,38,85
"OH1400912",1,39,94
"OH1401211",0.69,36,63.7
"OH1500112",0,27,34
"OH1500312",0,40,40.66
"OH1500811",0.53,61,82.94
"OH1500912",0,51,68.91
"OH1501412",0,53,43.93
"OH1501512",0.98,54,67.01
"OH1501722",0,32,35
"OH1502011",0.32,51,71.12
"OH1502512",0,13,46
"OH1502612",0,34,46
"OH1502712",0,35,49.53
"OH1502812",0,49,49.47
"OH1502911",1,43,64
"OH1503412",1,43,64
"OH1503512",0,36,33
"OH1504112",1,43,64
"OH1566312",1,43,64
"OH1600012",0.56,59,69.03
"OH1600212",0,42,68
"OH1600412",0,37,4
"OH1600612",0,37,4
"OH1600811",1,35,55
"OH1601012",0,40,70.05
"OH1601312",1,48,62
"OH1700011",0.76,50,75.39
"OH1700112",0.28,45,70.63
"OH1700211",0.39,57,77.58
"OH1700612",0,47,74
"OH1800003",0.14,53,72.73
"OH1800111",0,50,50.36
"OH1800212",0,56,11
"OH1800812",0,NA,NA
"OH1801003",0.21,76,58.97
"OH1801212",0.19,55,55.21
"OH1900012",0,54,4
"OH1900112",0,49,27
"OH1900212",0,58,47.63
"OH1900512",0,56,16
"OH1900714",0.97,47,67.54
"OH1900812",1,40,67
"OH1900912",0,58,60
"OH1901012",0,39,41
"OH1901112",0,58,60
"OH1901212",1,40,67
"OH1901312",0,52,32
"OH2000111",0.33,45,62.87
"OH2000212",0,50,74
"OH2000512",0,40,35
"OH2000712",0,41,48
"OH2000903",0,31,34
"OH2001003",0,35,38
"OH2001103",0,35,38
"OH2001203",0,NA,NA
"OH2001403",0,40,35
"OH2100011",0,47,81
"OH2100311",0,26,58.31
"OH2101412",0,12,37.81
"OH2200203",0,31,57.58
"OH2200403",0,28,39.34
"OH2200803",0,35,26.27
"OH2201011",0,36,53.46
"OH2201111",0,29,18
"OH2201212",0,39,41
"OH2201411",0.59,64,83.68
"OH2201511",0,29,40.42
"OH2300012",0,33,44
"OH2300112",1,46,70
"OH2300212",0,35,16
"OH2300312",0,14,18.49
"OH2300512",0,NA,NA
"OH2300712",0,35,16
"OH2301012",0.7,51,68.4
"OH2301112",0,18,6
"OH2301212",0,51,68
"OH2301412",0,22,36
"OH2301512",0,5,32.81
"OH2301712",0,27,50.9
"OH2301812",0,13,26.28
"OH2301912",0,2,30.74
"OH2302012",0,NA,NA
"OH2302112",0,28,56
"OH2302812",0,NA,NA
"OH2302903",0,32,72
"OH2303103",0,35,16
"OH2303212",0,11,38.94
"OH2346603",0,10,40.94
"OH2400012",0,37,48
"OH2400112",1,47,99
"OH2400612",0,44,73
"OH2400714",0.64,42,81.96
"OH2400912",1,NA,NA
"OH2437412",0,NA,NA
"OH2500103",0,75,16.7
"OH2500212",1,10,90
"OH2500312",0,14,41.58
"OH2500612",0,1,26
"OH2500712",0,26,59
"OH2501003",0.22,58,48.89
"OH2501303",0.07,7,37.56
"OH2501512",0,27,51.12
"OH2501612",0,1,26
"OH2501812",0,22,NA
"OH2502112",0,22,NA
"OH2502212",0,23,85.08
"OH2502412",0.57,16,77.99
"OH2502512",0.01,5,56.98
"OH2502612",0,7,36.29
"OH2502712",0,2,35
"OH2502812",0,4,8
"OH2502912",0,NA,NA
"OH2503012",0,1,26
"OH2503203",0.14,14,47.49
"OH2503411",0.03,13,28.22
"OH2503903",0,26,59
"OH2504012",0,4,11
"OH2504303",0,26,59
"OH2504412",0.22,28,55.9
"OH2554603",0,7,70
"OH2566512",0,26,59
"OH2570717",1,10,81.54
"OH2570736",0,40,85
"OH2600011",0,38,64.99
"OH2600111",0,47,39
"OH2600311",0,50,53.66
"OH2600412",0,52,38
"OH2600603",0,36,37
"OH2601011",0,42,52.87
"OH2601212",0,53,32.32
"OH2601512",0,36,37
"OH2637812",0,44,41
"OH2700012",0,13,73
"OH2700112",0.46,37,81.01
"OH2700316",1,20,68
"OH2800012",0,NA,NA
"OH2800212",1,40,9
"OH2800312",0,45,15
"OH2800412",0,33,60
"OH2801112",0,18,41
"OH2801312",0,43,43
"OH2801412",0,40,57
"OH2801512",0,28,13
"OH2801612",0,18,41
"OH2801712",0,40,7
"OH2801812",0,35,43
"OH2801912",1,25,50
"OH2802012",0.01,21,47.03
"OH2802112",0,33,60
"OH2802211",0,25,27
"OH2802412",0,39,25
"OH2802512",0,19,10
"OH2802612",0,18,41
"OH2802712",0,28,45
"OH2803012",0,27,NA
"OH2803112",0,19,10
"OH2803212",0,28,13
"OH2803312",0,43,43
"OH2803512",0,26,26.92
"OH2803712",0,43,43
"OH2804003",0,20,10.29
"OH2804212",0,29,17
"OH2868112",0,36,27.96
"OH2876919",0,28,45
"OH2900212",0,52,62
"OH2900612",0.29,37,65.25
"OH2901112",0,19,24.14
"OH2901712",0,37,51.38
"OH2902012",0,NA,NA
"OH2902422",0,32,45
"OH2902512",0,32,45
"OH2902812",0.17,35,67.02
"OH2903012",0,56,24
"OH2903312",0,47,NA
"OH2903412",0,45,50
"OH2903512",0.04,17,26.7
"OH2903612",0,39,50
"OH2903912",0,32,45
"OH2904203",0,23,8.78
"OH2906103",1,48,86
"OH2956203",0,19,50
"OH3000111",0.77,55,81.53
"OH3000603",0.6,35,68.27
"OH3000912",0,30,36.08
"OH3001011",1,28,70
"OH3001103",0,19,43
"OH3001212",0,41,44
"OH3100512",0.39,37,87.72
"OH3100712",0,58,44
"OH3100812",0,27,56.98
"OH3101112",0,49,14.23
"OH3101703",0.68,80,87.84
"OH3101812",0.3,55,71.31
"OH3102212",0,49,30.7
"OH3102303",0,15,88
"OH3102612",0.18,46,57.21
"OH3200012",0,44,42
"OH3200111",0.14,37,55.58
"OH3200411",0,40,11
"OH3200512",0,44,42
"OH3200612",0,46,13
"OH3200812",0,46,13
"OH3200903",0,56,61
"OH3248312",0,44,42
"OH3300012",0,38,20
"OH3300112",0,38,66
"OH3300212",0,39,33
"OH3300312",0,43,57
"OH3300612",0.92,56,86.8
"OH3300712",0,38,66
"OH3300912",0,50,32
"OH3301212",0,38,20
"OH3400112",0.81,41,38.45
"OH3400214",0.28,56,92.97
"OH3400312",1,33,79
"OH3400412",1,33,79
"OH3400503",0.4,40,59.94
"OH3400612",1,58,81
"OH3400712",0.78,44,15
"OH3400811",1,37,51
"OH3400912",1,37,51
"OH3401103",0,45,18.28
"OH3401212",0,52,54
"OH3401312",1,41,38
"OH3401403",0,45,23.47
"OH3401503",0,NA,NA
"OH3439717",0,56,94
"OH3500112",1,50,41
"OH3500312",1,50,41
"OH3500512",0,62,33
"OH3500603",0,39,25
"OH3500811",0.54,47,36.61
"OH3500912",0,39,25
"OH3501203",0,52,7
"OH3501403",0,54,43
"OH3539212",0,44,31.37
"OH3539214",1,40,61
"OH3600312",0.94,51,85.23
"OH3600514",0.99,11,84.79
"OH3600614",1,39,83.53
"OH3600712",0,27,45
"OH3600915",0,22,85
"OH3700103",0,31,6
"OH3700312",0,18,50
"OH3700512",0.47,26,69.44
"OH3700612",0.25,43,70.74
"OH3700803",0,31,6
"OH3700912",0,NA,NA
"OH3740512",0,18,50
"OH3800012",1,27,5.12
"OH3800112",0,30,3
"OH3800312",1,34,6
"OH3800512",0,24,61
"OH3800712",1,34,6
"OH3800812",1,34,6
"OH3800912",0,38,68
"OH3801012",0,30,3
"OH3801112",0,24,61
"OH3801412",0,28,0
"OH3801512",0,28,0.16
"OH3900011",0.45,59,69.25
"OH3900112",1,33,85
"OH3900312",1,50,51
"OH3900811",0,59,17
"OH3901012",0,46,36
"OH3901111",0,39,65.12
"OH3901411",0,32,70
"OH3901511",0.38,48,66.03
"OH3902403",0,32,70.22
"OH3902611",1,50,80
"OH3946612",1,50,51
"OH3946912",0,32,70
"OH4000003",1,29,89
"OH4000111",0.45,50,86.98
"OH4000411",0.67,26,83.25
"OH4001803",0,27,85
"OH4001912",1,44,91.45
"OH4002012",1,27,78
"OH4100003",0,48,60.33
"OH4100412",1,57,94
"OH4100512",0.95,62,34.8
"OH4100803",0,32,92
"OH4101003",0.1,38,92.66
"OH4101103",0.67,37,72.1
"OH4101203",0,30,74
"OH4101612",0.12,55,87.44
"OH4101712",0.43,51,63.67
"OH4101803",0.22,65,75.25
"OH4102411",0.26,59,81.34
"OH4102512",1,39,66.71
"OH4102712",1,74,78
"OH4102811",0.71,58,84.66
"OH4102903",0.71,52,72.84
"OH4103003",0,31,74.69
"OH4103112",0.55,68,79.69
"OH4200112",1,45,59
"OH4200212",0,45,52
"OH4200403",0,29,76
"OH4200812",0.26,50,75.45
"OH4201512",0,36,36
"OH4201712",1,58,91
"OH4202012",0,4,12
"OH4202312",1,34,52
"OH4202712",0.99,58,91
"OH4300411",0,61,87
"OH4301511",0,23,46.28
"OH4301611",0.1,38,56.57
"OH4302411",0,42,54.4
"OH4302911",0.01,29,54.52
"OH4400012",1,49,84.48
"OH4400711",0.95,59,90.93
"OH4400803",0.51,26,76.22
"OH4400912",1,25,79
"OH4401212",1,21,80.08
"OH4401612",0.91,23,75.23
"OH4500212",0,25,29
"OH4500312",0,17,73
"OH4500512",0,17,73
"OH4500612",0,39,5
"OH4500712",0,35,68
"OH4500812",0,26,15.08
"OH4500912",0,16,58.09
"OH4501012",0,24,44
"OH4501512",0,29,65
"OH4501712",0,33,68
"OH4502314",0.28,46,75.68
"OH4502512",0,16,62.78
"OH4502812",0,NA,NA
"OH4503012",0,35,68
"OH4503112",0,25,29
"OH4503312",0,17,73
"OH4504012",0,35,68
"OH4504203",0,33,38
"OH4504312",0,24,44
"OH4505412",0,10,49.12
"OH4505512",1,35,85
"OH4564712",0.44,37,71.83
"OH4600012",0,32,21
"OH4600112",0.45,51,79.68
"OH4600312",1,41,95
"OH4600512",0,47,37
"OH4600812",1,31,90
"OH4601312",0,38,27
"OH4601512",1,31,90.04
"OH4601912",0,47,37
"OH4602012",0,25,46
"OH4602112",0,53,51
"OH4602212",1,41,95
"OH4602412",0,50,48
"OH4602512",0,53,51
"OH4602612",0,NA,NA
"OH4602712",0,38,27
"OH4634612",0,38,27
"OH4700003",0.14,31,29.35
"OH4700203",0,12,9.22
"OH4700311",0,20,15.71
"OH4700411",0.46,47,67.61
"OH4700511",0,27,73.87
"OH4700603",0,18,46
"OH4700711",0.7,53,76.71
"OH4700803",0,12,45.45
"OH4700911",0,51,42.34
"OH4701103",0,36,70.32
"OH4701203",0,18,31
"OH4701411",0,50,83.61
"OH4701511",0,41,65.91
"OH4701803",0.11,31,51.21
"OH4701912",0,18,45.96
"OH4800112",0,33,50
"OH4800603",0,46,28.74
"OH4800911",0,37,67.45
"OH4801012",0,23,25
"OH4801303",0,20,30.59
"OH4801411",0.38,55,69.23
"OH4801503",0,27,67
"OH4801612",0,20,50
"OH4900012",0,NA,NA
"OH4900112",0,27,11
"OH4900212",0,7,35
"OH4900512",0,32,61
"OH4900612",0,32,83
"OH4900712",0.15,46,88.54
"OH4900812",0,44,74
"OH4901012",0,NA,NA
"OH4901112",0,26,27.73
"OH4901212",0,44,74
"OH4901312",0,54,61
"OH4901412",0,54,61
"OH4901512",1,20,68
"OH4901612",0,27,29
"OH4901812",1,20,68
"OH4902012",0,32,65.89
"OH4902112",1,20,68
"OH5000503",0,24,22.17
"OH5000612",0,27,34
"OH5000912",1,72,90
"OH5001212",0,29,55
"OH5001611",0.18,49,54.99
"OH5001812",0,23,75.21
"OH5001911",0.62,57,75.24
"OH5002303",0.54,55,71.86
"OH5002812",0,NA,NA
"OH5100212",0,48,26
"OH5100312",0,48,26
"OH5100414",0.38,54,78.23
"OH5100612",0,15,32
"OH5200012",0,NA,NA
"OH5200412",0,42,87
"OH5200514",0,16,38.3
"OH5201412",0,35,25
"OH5201611",0,33,52
"OH5201712",0,32,42.31
"OH5201903",0,16,30.65
"OH5202003",0,22,13
"OH5202112",0,29,NA
"OH5260712",0,35,45.38
"OH5300012",1,21,72.11
"OH5300112",1,57,94.51
"OH5300212",1,48,64.86
"OH5300512",1,43,47.3
"OH5300612",0.85,26,57.89
"OH5400011",0.29,38,62.43
"OH5400112",0,37,28
"OH5400212",0,39,39
"OH5400312",0,28,45
"OH5400612",0,52,67
"OH5401112",0,52,67
"OH5401212",0,33,7
"OH5401312",0,33,7
"OH5402212",0,33,7
"OH5500012",0,20,50
"OH5500112",0,60,77.52
"OH5500312",0,NA,NA
"OH5500412",0,48,19
"OH5500612",0,45,41
"OH5501211",0.48,57,73.7
"OH5501312",0,50,49
"OH5501612",0.25,33,61.18
"OH5501711",0,53,34
"OH5501912",0,34,80
"OH5502203",0,16,38
"OH5502303",0,22,48.68
"OH5502503",0.39,72,83.84
"OH5502703",0,22,31
"OH5553612",0,31,48.95
"OH5553614",0,57,37.52
"OH5600012",0,44,69
"OH5600412",0,44,68.9
"OH5600503",1,37,55
"OH5600603",0,44,69
"OH5600711",1,53,51
"OH5600812",0,40,56
"OH5700203",0,29,37.08
"OH5700512",1,NA,NA
"OH5700612",0,38,46
"OH5700812",0,16,52.43
"OH5700912",0,31,47
"OH5701012",0,48,49
"OH5701212",0.06,33,56.48
"OH5701315",0.11,32,45.6
"OH5701503",0.62,36,75.32
"OH5701812",0,32,46.74
"OH5701915",0,86,15
"OH5702112",0,60,25
"OH5702212",0,46,82
"OH5702403",1,42,87.39
"OH5702512",0,13,54.74
"OH5702712",0.8,27,76.83
"OH5702812",0.36,22,79.14
"OH5703012",0,54,68
"OH5703512",0.84,68,88.62
"OH5703612",0.14,19,63.01
"OH5703715",0,7,30.33
"OH5800112",1,40,72
"OH5800412",1,50,66
"OH5800512",1,50,66
"OH5800712",1,27,62
"OH5800912",1,40,72
"OH5801003",1,50,66
"OH5801103",1,44,69.86
"OH5801203",1,47,66.87
"OH5900112",0,29,81
"OH5900412",1,31,49
"OH5900512",0,33,59
"OH5900712",0,42,69
"OH5901012",1,31,49
"OH6000212",0,27,4
"OH6000303",0,43,46
"OH6000412",0.12,30,50.81
"OH6000612",0,19,65
"OH6001411",0.17,33,76.56
"OH6001711",0,27,55.93
"OH6001912",1,39,83
"OH6002112",1,43,78.29
"OH6002212",0.96,46,75.05
"OH6002712",0.59,59,81.59
"OH6045817",0,22,36
"OH6100011",1,42,25
"OH6100103",0,33,37
"OH6100203",1,42,25
"OH6100303",1,42,25
"OH6100403",1,37,43.39
"OH6100503",1,42,25
"OH6200712",0,53,31
"OH6201003",0,51,62
"OH6201212",0,53,31
"OH6201312",0,24,NA
"OH6202411",0,42,46
"OH6202603",0,54,67
"OH6203211",0,56,61.6
"OH6203311",0,42,NA
"OH6205011",0,22,44.24
"OH6205111",0,30,51
"OH6300012",0,40,51
"OH6300212",0,40,51
"OH6300312",0,43,69
"OH6300411",1,48,60
"OH6300712",0,42,47
"OH6333512",0,42,47
"OH6400003",0,30,59
"OH6400111",0.96,46,74.61
"OH6400212",1,42,50
"OH6400411",1,42,87
"OH6400503",1,42,50
"OH6400812",0,41,49.16
"OH6400912",0,30,39
"OH6401003",1,42,50
"OH6401111",0,30,52
"OH6401212",0,30,39
"OH6401403",0,31,6
"OH6401503",0,30,59
"OH6401603",0,30,59
"OH6401803",1,42,50
"OH6401903",0,NA,NA
"OH6402303",0.92,28,60.98
"OH6402403",0,30,59
"OH6402503",0,28,29.25
"OH6402703",1,42,87
"OH6434912",0.99,NA,NA
"OH6434914",0,30,59
"OH6500012",0,26,72
"OH6500312",0,NA,NA
"OH6500412",0.6,45,80.22
"OH6500712",0,NA,NA
"OH6500812",0.29,24,72.84
"OH6501312",0,NA,NA
"OH6501512",0,26,72
"OH6501612",0,52,65.88
"OH6501712",0,22,79
"OH6501812",0,NA,NA
"OH6502112",0,25,68.46
"OH6502312",0,17,57
"OH6502412",0,23,79
"OH6502512",0,NA,NA
"OH6502812",0,NA,NA
"OH6503012",0,54,68
"OH6503312",0,26,72
"OH6503412",0,20,66
"OH6503512",0,17,57
"OH6503703",0,17,57
"OH6600012",1,26,91
"OH6600312",0.48,29,79.28
"OH6600712",1,29,94.8
"OH6600912",0.44,34,63.25
"OH6601412",1,26,91
"OH6602412",1,23,93.8
"OH6700003",0,14,57.24
"OH6700212",0,33,23.22
"OH6700312",0,NA,NA
"OH6700322",0,29,73
"OH6700412",0,22,42
"OH6700512",0,29,64
"OH6700612",0,38,81
"OH6700812",0,19,77
"OH6701312",0,31,33
"OH6701412",0,29,55
"OH6701612",0,31,33
"OH6701812",0.11,32,47.52
"OH6702212",0,46,33
"OH6702312",0,6,79
"OH6702412",0,28,48.94
"OH6702512",0,29,73
"OH6702812",0,4,51.9
"OH6703012",0,6,79
"OH6703112",0,22,31
"OH6703211",0.42,46,80.09
"OH6703312",0,46,33
"OH6703612",0,3,52
"OH6703912",0,22,31
"OH6704212",0,29,64
"OH6704712",0,6,79
"OH6704812",0,38,81
"OH6705003",0,11,62.67
"OH6705112",0,29,55
"OH6705212",0,29,48
"OH6705312",0,31,33
"OH6705512",0,3,52
"OH6789112",0,15,36.63
"OH6800112",0,33,82
"OH6800212",0,NA,NA
"OH6800512",0,62,90
"OH6800612",0,29,49
"OH6800712",0,6,62
"OH6800812",0,55,60
"OH6800912",0,46,85
"OH6801212",0,54,47.65
"OH6801312",0,41,57.64
"OH6801412",0,62,90
"OH6801612",0.35,41,76.77
"OH6835203",0,NA,NA
"OH6900112",0,39,47
"OH6900212",0,39,39
"OH6900512",0,27,41
"OH6900612",1,44,24
"OH6900711",0,32,30
"OH6900812",0,41,4
"OH6900912",0,53,34
"OH6901012",0,39,39
"OH6901303",0,32,30
"OH6901412",0,39,39
"OH7000012",0,31,27
"OH7000112",0,33,39
"OH7000312",0,37,87
"OH7000412",1,36,47
"OH7000512",0,31,27
"OH7000612",1,36,47
"OH7000812",0,26,59
"OH7000912",0,37,87
"OH7001012",0,37,87
"OH7001212",1,48,88
"OH7001412",1,48,88
"OH7001512",0,28,53
"OH7001612",0.93,48,87.69
"OH7001712",0,26,59
"OH7001912",1,48,88
"OH7002012",0,26,59
"OH7002112",1,48,88
"OH7002212",0,22,55.84
"OH7002612",0,35,31
"OH7002812",1,79,81.8
"OH7002914",0.68,57,77.37
"OH7003212",0,26,59
"OH7003312",0,26,59
"OH7003512",0,32,64.36
"OH7003612",0,31,27
"OH7003712",1,69,89.88
"OH7003812",0,NA,NA
"OH7004003",0.48,56,60.05
"OH7004112",0,NA,NA
"OH7004412",0,26,59
"OH7004511",0.42,60,63.63
"OH7004612",0,26,59
"OH7004712",0,61,69
"OH7004812",0,28,53
"OH7004912",0,33,39
"OH7005032",0,28,53
"OH7005112",0,35,31
"OH7005412",0,28,53
"OH7005612",1,48,88
"OH7005812",0,26,59
"OH7005912",0,26,59
"OH7006012",0,26,59
"OH7006412",0,26,59
"OH7006612",0.25,NA,NA
"OH7006712",0.28,47,86.15
"OH7033512",0,47,68
"OH7100012",1,31,79
"OH7100112",0.37,57,74.06
"OH7100212",0,34,60
"OH7100712",0,19,69
"OH7100912",0,30,42
"OH7101412",0.25,26,72.1
"OH7200012",0,49,35
"OH7200211",0,51,75.67
"OH7200311",0.37,63,69.24
"OH7200412",0,55,55
"OH7200512",0,48,6
"OH7200912",0,50,47
"OH7201012",0,49,35
"OH7300003",0.9,34,81.56
"OH7300111",0.81,58,88.35
"OH7300212",0.74,28,63.78
"OH7300303",0,26,71.67
"OH7300803",1,32,77
"OH7300903",1,28,78
"OH7301203",1,32,77
"OH7301303",1,32,77
"OH7301503",1,32,77
"OH7301603",1,32,77
"OH7301703",1,32,77
"OH7301903",1,56,96
"OH7302103",1,NA,NA
"OH7302203",1,NA,NA
"OH7302403",0,22,85
"OH7302503",0,34,86
"OH7332513",0,22,85
"OH7400011",0,61,46.19
"OH7400112",0,45,7
"OH7400212",0,62,46
"OH7400411",0.75,61,69.4
"OH7400512",0,44,61.06
"OH7400614",0.31,53,56
"OH7400712",0,45,7
"OH7400812",0,45,51
"OH7401212",1,35,79
"OH7401312",1,NA,NA
"OH7401412",0,40,6
"OH7500012",0,34,31.77
"OH7500112",0,29,60.17
"OH7500212",0,34,30.94
"OH7500312",0,35,19
"OH7500412",0,17,57
"OH7500512",0,32,18
"OH7500612",0,34,31
"OH7500712",0,17,57
"OH7500812",0,35,22.2
"OH7500912",0,NA,NA
"OH7501112",0,27,66
"OH7501214",0.26,37,52.93
"OH7501312",0,35,19
"OH7501412",0,34,31
"OH7501512",0,35,19
"OH7541912",0,27,66
"OH7600011",0.35,66,75.98
"OH7600212",0,46,55
"OH7600512",0,46,55
"OH7600912",0,14,38.48
"OH7601412",0,NA,NA
"OH7601503",0,56,84
"OH7601612",0.06,44,77
"OH7601912",0,29,25
"OH7602012",0,25,47
"OH7602112",0,NA,NA
"OH7602512",0,26,41
"OH7602712",0,30,50
"OH7603012",0,35,42.43
"OH7603112",0,43,35.79
"OH7603312",0,NA,NA
"OH7603812",0.1,45,58.07
"OH7604112",0,49,55.79
"OH7604312",0,24,26.58
"OH7604512",0.1,32,49.77
"OH7605012",0,28,42.46
"OH7605412",0,48,59
"OH7605512",0,56,84
"OH7605712",0,47,39
"OH7606012",0,46,55
"OH7607303",0,11,23.26
"OH7608012",0,NA,NA
"OH7608112",0.32,62,69.96
"OH7674412",0,NA,NA
"OH7676612",0,NA,NA
"OH7700011",0.44,56,70.76
"OH7700312",0,16,27
"OH7700411",0.43,61,83.28
"OH7701012",0,53,60.7
"OH7701212",1,43,88
"OH7701612",0,12,12.66
"OH7701812",0.81,53,63.73
"OH7702212",0,17,37
"OH7702512",0,35,13
"OH7702703",0,19,38.21
"OH7703212",0,29,NA
"OH7703812",0,41,70
"OH7704012",1,43,88
"OH7704212",0,13,18.86
"OH7704303",0,70,52
"OH7704503",0,17,37.3
"OH7704703",0,29,40.27
"OH7704812",0,10,34
"OH7704912",0,23,17
"OH7705312",1,43,88
"OH7706612",0,25,17
"OH7707312",0,29,NA
"OH7708012",0,36,43
"OH7708112",0,6,13
"OH7709412",0,29,NA
"OH7800212",1,59,98
"OH7800312",0,25,60
"OH7800512",0,16,45.97
"OH7800712",0,33,60
"OH7800812",0,57,59
"OH7801012",0,NA,NA
"OH7801103",0.27,56,59.34
"OH7801415",0,53,44.1
"OH7801712",0,NA,NA
"OH7802003",0.02,49,66.91
"OH7802112",0,29,57
"OH7802311",0,50,67
"OH7802403",0.5,48,77.2
"OH7802512",0.7,55,76.63
"OH7802711",0.86,57,87.97
"OH7802912",0,36,59
"OH7803203",0,16,16.45
"OH7803503",0.35,33,75.76
"OH7803712",0,69,82
"OH7803811",0.86,59,88.43
"OH7803911",1,35,28
"OH7804303",0.02,29,39.16
"OH7804403",0,22,30
"OH7804512",1,35,28
"OH7804712",1,51,44
"OH7806112",1,59,89.46
"OH7806403",0,16,28.02
"OH7806503",0,48,79
"OH7900112",0,40,53.66
"OH7900212",0.32,28,43.71
"OH7900412",0.24,48,44.76
"OH7900512",0,53,64
"OH7900612",1,43,9
"OH7900812",0.24,49,56.12
"OH7900912",0.93,49,85.56
"OH7901212",0,28,14
"OH7901312",0,41,52.96
"OH7901512",0,28,44
"OH7901612",0,11,41
"OH7901711",1,58,83.85
"OH7902012",0,25,18
"OH7902103",0,28,44
"OH8000012",0,32,59
"OH8000212",0,30,18
"OH8000314",0,18,60.13
"OH8000412",0,44,59.36
"OH8100112",0,38,47
"OH8100312",0,46,61
"OH8100412",0,52,30
"OH8100611",0.68,56,75.62
"OH8100911",0,54,15
"OH8200003",1,28,86
"OH8200212",1,28,85.78
"OH8200512",1,23,74.9
"OH8300012",0,NA,NA
"OH8300212",0,26,50
"OH8300412",0.15,33,78.27
"OH8300512",0.02,23,51.81
"OH8300912",0,38,60
"OH8301012",1,21,NA
"OH8301312",0,18,59.99
